run,success,final_mass,rank,elapsed_seconds,return_code,error
1,True,71.86293200526394,1,21.896939,0,
2,True,1.921793684708267,5,21.128809,0,
3,True,8.124791366280993,3,18.676958,0,
4,True,1.281221211533596,7,21.077723,0,
5,True,1.3295802558774716,6,20.38136,0,
6,True,1.110769274241737,8,20.792342,0,
7,True,0.9260349593376803,8,19.934057,0,
8,True,1.579511544046431,7,21.419045,0,
9,True,1.5174864075938905,4,20.836557,0,
10,True,1.4740214141900159,5,21.152819,0,
11,True,0.9611753650466968,8,20.2767,0,
12,True,1.0602458977196245,7,21.361391,0,
13,True,2.2184680374867103,4,20.299146,0,
14,True,70.50848339010987,1,22.980802,0,
15,True,1.8271644937222427,4,19.89964,0,
16,True,0.9389811252964559,8,22.01996,0,
17,True,0.9940007947802504,7,20.669403,0,
18,True,1.1514280796063827,7,21.592369,0,
19,True,2.2323990610600952,4,19.995875,0,
20,True,1.7980304075595317,6,21.300452,0,
21,True,11.50220830593569,3,21.175779,0,
22,True,2.3239395492935153,5,20.89562,0,
23,True,1.4911275386586764,6,20.89564,0,
24,True,1.6932299103408164,7,20.308072,0,
25,True,1.9677985523925878,3,20.695268,0,
26,True,1.6437264900439197,6,21.518338,0,
27,True,32.22302818366428,2,20.51367,0,
28,True,1.4806225396759638,5,20.755977,0,
29,True,33.796792398309464,3,21.873131,0,
30,True,1.6689947003777328,5,20.399577,0,
31,True,5.10802738693452,3,21.498692,0,
32,True,2.409286949652728,5,21.313086,0,
33,True,55.658912044901925,1,22.574471,0,
34,True,11.770497351429798,2,20.766582,0,
35,True,1.1343714671748883,7,19.151587,0,
36,True,1.6763979154457485,5,20.181965,0,
37,True,1.0793302362609842,7,21.401977,0,
38,True,1.551373304949206,5,20.613082,0,
39,True,1.6764751434390022,6,20.193578,0,
40,True,0.81,7,18.165552,0,
41,True,7.804041250562772,4,20.884402,0,
42,True,47.42461522976122,2,22.478313,0,
43,True,0.9534940699121127,7,20.623347,0,
44,True,2.135980673077808,5,20.954293,0,
45,True,83.64162625408466,1,21.508231,0,
46,True,1.1352606219863595,4,21.920591,0,
47,True,1.0219758286611373,7,19.93142,0,
48,True,2.05795898165547,4,21.590323,0,
49,True,63.829672134866186,1,20.06259,0,
50,True,2.142828491510513,5,20.509933,0,
