run,success,final_mass,rank,elapsed_seconds,return_code,error
1,True,2.451808017138201,4,21.854806,0,
2,True,1.2308232223001507,7,20.688553,0,
3,True,2.696537230730885,3,19.978571,0,
4,True,3.194294660256788,3,21.260537,0,
5,True,0.9662735202684624,6,21.468629,0,
6,True,0.9222734098488876,7,21.449767,0,
7,True,1.5211853747580324,5,20.249093,0,
8,True,44.992833488612746,2,21.253237,0,
9,True,1.6322123153711425,5,20.905073,0,
10,True,1.5093314277097543,6,20.038985,0,
11,True,1.8945644990113455,5,20.811183,0,
12,True,66.01672932127545,1,19.283202,0,
13,True,40.87326729763636,1,20.097602,0,
14,True,2.7808147509151926,4,21.686122,0,
15,True,2.72344440892696,4,20.490099,0,
16,True,1.6310164164815333,7,20.119214,0,
17,True,1.325362414726312,8,21.906723,0,
18,True,1.2183681472049714,6,22.205009,0,
19,True,81.36529359788726,1,21.970783,0,
20,True,2.74875880811741,5,22.423229,0,
21,True,3.245158191950903,3,21.148496,0,
22,True,62.667623797056415,1,22.080971,0,
23,True,92.52067318239754,1,22.088754,0,
24,True,2.7368989527795984,4,21.617732,0,
25,True,1.8767442747524812,5,22.013698,0,
26,True,1.2117237118567714,7,19.727147,0,
27,True,0.0,8,22.017252,0,
28,True,1.6971996491458463,6,21.866402,0,
29,True,1.8108817499568506,4,20.774421,0,
30,True,2.213515427717401,5,20.09631,0,
31,True,0.0,7,20.014041,0,
32,True,8.129527587487235,3,19.364698,0,
33,True,2.9630334769948434,5,19.817542,0,
34,True,1.919500520959441,6,20.285914,0,
35,True,0.8729949317716313,7,19.948161,0,
36,True,43.949234619615694,2,21.485519,0,
37,True,2.18751960178563,3,19.310651,0,
38,True,0.9845636407833283,7,20.273418,0,
39,True,7.620964868539233,3,20.982919,0,
40,True,1.9788167542732338,6,18.633536,0,
41,True,59.440054214394344,1,21.00155,0,
42,True,62.04268882484074,2,22.945008,0,
43,True,2.727142399509243,5,20.763265,0,
44,True,2.222502974570902,4,19.506875,0,
45,True,45.087029358237984,2,20.281942,0,
46,True,11.466908277971234,3,21.784568,0,
47,True,1.0305181368899619,7,22.191572,0,
48,True,1.8722181246027174,4,20.147526,0,
49,True,0.829826637902823,7,20.147359,0,
50,True,1.177375425683217,7,20.837995,0,
