run,success,final_mass,rank,elapsed_seconds,return_code,error
1,True,35.65610159339802,3,23.314588,0,
2,True,0.0,8,20.454697,0,
3,True,1.0227474473510483,7,19.599425,0,
4,True,9.467174033968792,4,20.962934,0,
5,True,1.3522237446318335,5,20.951939,0,
6,True,1.7669681716185681,7,21.281525,0,
7,True,1.0477488627556975,7,20.849402,0,
8,True,1.7901453836168209,5,21.182015,0,
9,True,0.8516733299999998,7,20.715929,0,
10,True,31.54239657849573,3,21.635279,0,
11,True,2.332840733283497,3,20.05203,0,
12,True,0.8335539794580125,8,19.682354,0,
13,True,0.8621325261563032,7,21.167083,0,
14,True,1.2336837478523264,5,21.29379,0,
15,True,33.59106316821682,1,19.259921,0,
16,True,1.1681894954900622,8,19.065497,0,
17,False,,,10.789579,,No completed-match outcome line found.
18,True,1.111561143585237,7,20.389393,0,
19,True,0.0,7,21.730552,0,
20,True,8.662533537470898,4,21.535429,0,
21,True,70.76773689164085,1,20.229761,0,
22,True,6.93780876230456,2,22.273214,0,
23,True,1.709967342511351,5,21.349709,0,
24,True,1.5484863263294844,5,20.945658,0,
25,True,1.7453740192702158,6,20.034013,0,
26,True,20.009592719361926,3,20.102041,0,
27,True,7.652432934887155,4,20.951051,0,
28,True,11.709852004087052,2,20.10072,0,
29,True,20.691607077519414,3,21.774608,0,
30,True,30.85444695075583,2,20.848912,0,
31,True,8.265650787131957,3,19.82593,0,
32,True,2.1137018276574655,6,21.75131,0,
33,True,1.174571719985989,7,21.642718,0,
34,True,2.465792585532297,3,20.838362,0,
35,True,42.27400027842818,2,21.809386,0,
36,True,3.287308937747079,3,21.060831,0,
37,True,0.0,7,22.537377,0,
38,True,33.15861846359454,2,21.008362,0,
39,True,1.415006951374293,6,21.798221,0,
40,True,41.43334850223132,1,20.764237,0,
41,True,22.562279070668257,2,21.16178,0,
42,True,20.823091199113456,3,20.950881,0,
43,True,1.5963547530284545,5,21.885308,0,
44,True,1.9433560991261796,4,22.056614,0,
45,True,2.5737445431576798,4,21.005394,0,
46,True,1.1926153595319011,8,20.534288,0,
47,True,89.60019905000833,1,21.659645,0,
48,True,52.131486800082705,2,22.092744,0,
49,True,38.15914139689717,2,21.985562,0,
50,True,47.93907426381575,1,21.578337,0,
51,True,1.2820148549177846,7,19.955278,0,
52,True,83.55234759768,1,20.476751,0,
53,True,0.9121484368269618,6,21.509763,0,
54,True,1.9888024591367828,4,21.612988,0,
55,True,1.8189279737266186,5,21.048526,0,
56,True,66.78295656141533,1,21.621246,0,
57,True,68.84984864880224,1,20.026774,0,
58,True,1.0875332256805157,5,20.625468,0,
59,True,24.49003631573688,2,21.521856,0,
60,True,22.48158949855661,2,20.277023,0,
61,True,9.129311966485911,3,22.544631,0,
62,True,2.9106743978657383,3,20.611925,0,
63,True,1.163200742544128,6,20.499807,0,
