run,success,final_mass,rank,elapsed_seconds,return_code,error
1,True,1.546381302926553,7,19.968899,0,
2,True,1.5413388010882583,6,19.697162,0,
3,True,2.8470532057949876,4,19.927902,0,
4,True,1.720613670258139,5,22.355481,0,
5,True,6.927893853004548,5,21.617391,0,
6,True,1.5924472934731624,4,20.860131,0,
7,True,1.350112585519309,6,21.513085,0,
8,True,1.1851320184132244,6,21.994379,0,
9,True,5.388812487569279,4,21.761945,0,
10,True,1.1942858819037443,5,21.355517,0,
11,True,2.4361698750246417,5,20.682987,0,
12,True,2.136947157780636,4,20.742864,0,
13,True,32.03181918086691,3,22.193698,0,
14,True,2.003078167237854,4,20.616979,0,
15,True,0.81,7,20.945096,0,
16,True,34.193478826609955,2,21.633093,0,
17,True,1.261555905531651,7,20.458864,0,
18,True,1.0904967872016624,6,21.798271,0,
19,True,18.243411614231043,2,20.675381,0,
20,True,1.6447037553230899,5,21.920237,0,
21,True,41.63499597721176,1,20.377939,0,
22,True,0.81,6,21.337949,0,
23,True,1.2200565093845828,6,20.256903,0,
24,True,1.987388594249321,5,20.50901,0,
25,True,31.74520099104093,2,22.620765,0,
26,True,14.572370842970628,5,21.96182,0,
27,True,1.7394138155108945,4,20.413274,0,
28,True,1.4786751369110274,6,21.668339,0,
29,True,9.735557733035336,2,20.365395,0,
30,True,1.1574028194171275,6,20.431622,0,
31,True,23.828457430823743,3,20.730832,0,
32,True,1.2478609209154226,5,20.332175,0,
33,True,17.768585075163582,3,20.051705,0,
34,True,1.5343540121209478,6,21.005657,0,
35,True,44.8146354426079,2,22.44501,0,
36,True,1.7885739270307324,5,19.893055,0,
37,True,26.934733724504515,2,22.296595,0,
38,True,2.4089505761910264,5,21.134264,0,
39,True,2.234981812341884,4,20.050361,0,
40,True,1.6300342354479547,6,23.048504,0,
41,True,53.86514620444535,1,21.31499,0,
42,True,24.873936190567605,2,21.499031,0,
43,True,6.419327147837655,3,20.115372,0,
44,True,58.66707370971303,1,19.704445,0,
45,True,42.296071352666715,2,23.13018,0,
46,True,1.233501221882702,6,21.2512,0,
47,True,1.9022001098933987,6,21.25712,0,
48,True,0.81,8,21.54205,0,
49,True,1.5742177303202656,4,21.70103,0,
50,True,58.51636922625014,1,20.410256,0,
