run,success,final_mass,rank,elapsed_seconds,return_code,error
1,True,21.290790697264594,2,18.019843,0,
2,True,33.16928339174297,3,20.809468,0,
3,True,18.761760699211827,3,20.540341,0,
4,True,53.96857994510265,1,19.98221,0,
5,True,56.414322205758474,1,20.95804,0,
6,True,1.408629573092794,5,17.771116,0,
7,True,36.11643904580707,2,20.680601,0,
8,True,69.68223124935915,1,20.215284,0,
9,True,1.78899350045559,4,19.113855,0,
10,True,18.81632430299717,3,20.540042,0,
11,True,40.66165094975242,1,19.327111,0,
12,True,15.178680410433103,3,19.898928,0,
13,True,15.005380300819049,2,19.308617,0,
14,True,61.971722531933246,1,20.09499,0,
15,True,1.0212471564695975,4,19.448612,0,
16,True,1.3004643398395315,6,21.071815,0,
17,True,50.68116790582967,1,19.527205,0,
18,True,0.8275149833399998,8,20.172855,0,
19,True,1.7690189143193664,4,20.243615,0,
20,True,61.52184833564025,1,18.813691,0,
21,True,16.975141111416647,2,18.421611,0,
22,True,12.14127559864185,2,19.171083,0,
23,True,11.48841865712401,2,20.088132,0,
24,True,15.745195691169759,2,19.906795,0,
25,True,26.04221802069791,3,20.354133,0,
26,True,46.79026005402659,2,20.080719,0,
27,True,55.04334188925731,1,18.232544,0,
28,True,0.0,7,18.890901,0,
29,True,9.212798871722248,3,19.255235,0,
30,True,0.0,8,19.002661,0,
31,True,56.39323821557485,1,19.394969,0,
32,True,5.087049935480516,4,18.371698,0,
33,True,1.0989484156812734,7,18.120471,0,
34,True,29.771617812059112,2,19.315352,0,
35,True,20.44486859916642,3,19.824713,0,
36,True,1.1961118407940368,4,19.567491,0,
37,True,1.693721233874583,5,17.406009,0,
38,True,5.44266743488792,3,18.09873,0,
39,True,21.72216213901581,2,17.980926,0,
40,True,1.1799202542886549,8,21.125255,0,
