run,success,final_mass,rank,elapsed_seconds,return_code,error
1,True,0.0,8,22.064335,0,
2,True,1.1113444486828452,6,20.466194,0,
3,True,2.4267350073686527,4,22.338373,0,
4,True,2.3971690096113902,3,20.734626,0,
5,True,1.7105544646255249,5,22.028303,0,
6,True,3.8917283149779323,2,21.157051,0,
7,True,0.9834914750408117,7,21.843851,0,
8,True,1.767563858705061,6,21.842787,0,
9,True,2.369585416524865,4,20.41021,0,
10,True,1.0744669808002618,6,20.921164,0,
11,True,24.309897008485848,3,20.801814,0,
12,True,0.8291733299999998,8,21.937514,0,
13,True,1.6062565071978752,7,21.460774,0,
14,True,0.8495848322030736,8,19.669775,0,
15,True,0.8192728679709095,7,19.825696,0,
16,True,0.9579673927659889,6,22.415802,0,
17,True,1.168703230015912,7,20.686397,0,
18,True,2.3298748592204594,5,21.398642,0,
19,True,1.3816491020976611,6,21.281154,0,
20,True,0.8455191226720497,7,21.538093,0,
21,True,0.0,7,20.347977,0,
22,True,0.8694583779643333,7,20.08249,0,
23,True,1.6409231603355967,6,21.576448,0,
24,True,1.5426342818195762,4,22.507417,0,
25,True,1.8807062478116972,4,19.736268,0,
26,True,1.1159818243925934,5,20.162766,0,
27,True,0.8541495261220309,8,22.487535,0,
28,True,1.6840444745772687,5,22.391868,0,
29,True,34.17676344480902,1,19.499334,0,
30,True,1.6808282640640657,5,21.323446,0,
31,True,1.4729771280891124,6,19.914461,0,
32,True,0.9023045655098745,8,19.596252,0,
33,True,98.9505749959733,1,22.200647,0,
34,True,1.0934804696586629,6,20.372459,0,
35,True,1.811943174891708,4,21.861809,0,
36,True,0.0,8,20.849276,0,
37,True,0.8504197900175721,5,20.300937,0,
38,True,27.74611012477554,3,22.830444,0,
39,True,5.041308624544758,5,21.918306,0,
40,True,32.97751219812838,3,21.14974,0,
41,True,26.660378927411745,2,21.074017,0,
42,True,1.1835088549006532,5,20.575998,0,
43,True,77.59421935388502,1,21.506489,0,
44,True,3.4995518373746464,3,20.170885,0,
45,True,1.058620309811724,8,20.73597,0,
46,True,2.235041786076146,3,20.41112,0,
47,True,1.2985459469525131,7,20.6278,0,
48,True,1.3027739181026374,7,21.558318,0,
49,True,0.0,8,20.507273,0,
50,True,1.215118542165083,7,19.851894,0,
