run,success,final_mass,rank,elapsed_seconds,return_code,error
1,True,2.557739066701588,3,20.262138,0,
2,True,63.53851659600943,1,20.027099,0,
3,True,2.9535472716299704,3,19.666241,0,
4,True,16.271349494744758,2,19.880066,0,
5,True,2.567814427586888,3,20.71523,0,
6,True,10.068873389850806,3,21.390599,0,
7,True,2.6132461377267564,4,18.889188,0,
8,True,1.3430231458018305,6,19.694687,0,
9,True,2.152096632258903,6,22.171688,0,
10,True,1.5122643380886847,7,20.042185,0,
11,True,33.322932097623784,2,21.001447,0,
12,True,10.893242073254063,3,20.402342,0,
13,True,52.20932322766527,1,21.259752,0,
14,True,1.6202946721024118,5,20.466702,0,
15,True,2.279659906110921,5,19.857576,0,
16,True,2.2086582381599893,6,21.984796,0,
17,True,1.071416290744971,8,21.642854,0,
18,True,55.21037985031512,1,20.101595,0,
19,True,1.3589736100537837,7,20.669775,0,
20,True,2.027178290764372,5,20.925971,0,
21,True,2.274127076874869,3,21.937724,0,
22,True,0.0,7,22.080876,0,
23,True,0.9498263131158171,5,19.976255,0,
24,True,1.9159755528452003,4,20.024205,0,
25,True,1.584258086767006,6,20.507121,0,
26,True,2.312120045775244,5,20.791924,0,
27,True,1.045341649560048,6,19.983822,0,
28,True,1.8863327267106267,6,20.848363,0,
29,True,1.576887970919112,5,19.997254,0,
30,True,0.0,6,19.906254,0,
31,True,1.5076723203304174,4,21.034924,0,
32,True,1.1398192668568368,7,21.449887,0,
33,True,1.7709917449545294,5,20.293602,0,
34,True,49.50150235436194,1,20.173835,0,
35,True,2.7318083202034384,3,21.431055,0,
36,True,0.941945338933344,8,21.422945,0,
37,True,27.698056075463853,3,20.73382,0,
38,True,1.5476318664335074,7,20.931481,0,
39,True,0.9236134336531473,6,21.026498,0,
40,True,2.3041571048233025,3,19.371069,0,
41,True,2.5201584520246145,2,20.264889,0,
42,True,75.0724412570455,1,19.488212,0,
43,True,59.65496627187654,1,21.878526,0,
44,True,1.2138677805413893,6,22.063496,0,
45,True,70.91697671266458,1,21.200947,0,
46,True,1.21136448980427,7,20.714285,0,
47,True,0.0,7,20.342319,0,
48,True,55.94280154442878,1,20.495745,0,
49,True,80.35228657598441,1,21.531562,0,
50,True,19.731876427383522,2,19.271678,0,
